"QUAL","PERF","CSOR","ATTR","COMP","LIKE"
0.43331,0.514597,0.874362,0.516888,-0.094687,0.359925
1.217938,0.680493,0.778171,0.191593,0.20351,0.359925
-0.853966,-1.034983,-1.914289,-0.99636,-0.944417,-1.487808
1.110752,0.692295,0.454828,1.379546,1.619777,1.697238
-0.187533,0.042112,-0.333674,-0.258607,0.751329,-0.302181
-1.120426,-0.561123,-1.407192,-1.571465,0.177365,-1.164075
0.544431,-0.054755,0.028367,-0.194765,0.177365,0.488237
0.746915,0.580631,0.904752,0.898814,0.497995,0.830977
1.055699,-0.036431,0.755007,1.56386,1.023381,0.359925
0.474406,0.249436,-0.97208,0.285966,-0.053536,0.364292
-1.285601,-0.838852,-1.360886,-0.482318,-1.46609,-2.3016
0.233804,0.808136,-1.873797,0.637361,0.747615,0.635556
-0.767237,-0.965954,0.144489,-0.906419,-0.918271,-0.69739
-0.391056,-0.53867,-0.543824,-0.164234,-0.072255,-0.768866
1.46159,1.846798,0.647254,0.929345,1.321579,0.364292
-0.199082,-1.065816,-0.20672,-0.833712,-1.194037,-0.701757
0.108489,-0.003742,1.845897,1.186366,-0.892126,-0.226338
0.402064,0.680493,0.789729,0.375907,0.20351,0.093028
-1.002145,-0.602081,-0.74202,-1.545366,-0.143265,-1.759072
-0.057651,-0.723969,-0.421931,-1.121265,-0.094687,-0.7776
-0.785464,-0.642901,-0.821231,1.469487,-1.194037,1.035131
-0.564473,-0.800058,-0.059868,-0.357413,0.20351,-1.048864
-0.392778,0.784905,-0.829214,-0.708807,-2.360683,-1.239918
-0.557733,-0.723969,0.182817,-0.833712,-0.918271,-0.573445
0.825352,-0.034755,-0.372415,0.479145,0.207224,-0.182603
0.257912,-0.427976,-0.771346,-0.043761,0.154933,-1.563651
-0.508703,-0.6553,-1.736697,-0.383512,-1.488522,-1.559284
0.916745,0.442336,0.392967,0.66346,0.177365,1.230553
-1.038949,-1.22106,-1.407192,-0.99636,-0.370453,-1.096966
-0.65199,-0.766772,-1.12543,-0.09596,0.20351,-0.849076
-0.176381,-0.661763,0.028367,-0.833712,-0.918271,-0.302181
0.485469,-0.016321,0.005225,0.542987,-0.072255,0.56408
0.94178,1.157585,0.762963,-0.074293,-0.344308,0.559713
-2.037059,-1.169686,-1.74609,-2.471865,-0.966849,-2.3016
-0.499134,-1.435098,-0.95217,0.641793,0.773761,1.425974
0.943926,1.092147,0.764445,1.401212,1.619777,0.364292
-0.514256,-1.134845,0.533295,-0.06986,-0.370453,-0.302181
-1.314009,-1.303973,-0.936984,-0.833712,-1.194037,-1.363863
-1.028547,-1.635168,-0.32428,-0.54616,-0.370453,-0.306548
-2.539341,-2.631207,-1.558041,-2.59677,-2.632736,-2.3016
-0.836574,-0.148931,-2.019896,-0.232508,0.426985,-1.239918
-1.336979,-1.835669,-1.920081,-0.99636,-1.764287,-1.36823
-0.765012,-0.896688,-0.198764,-0.833712,-0.344308,-0.302181
0.955956,1.39251,1.627791,0.66346,0.773761,0.631189
0.932532,1.011688,1.005671,0.929345,1.023381,0.559713
-0.495244,-0.262857,-0.53443,0.092787,0.453131,0.164504
0.334853,-0.327336,0.762986,-0.383512,0.177365,-0.035284
0.838195,0.314874,-0.208549,0.856639,-0.098401,0.049292
0.379201,0.073485,0.475432,0.191593,0.20351,0.164504
1.767692,2.123388,1.54895,0.762266,1.619777,1.697238
-1.037536,-1.484902,-1.399236,-1.283912,-0.419031,-0.378024
-2.063409,-1.446638,-1.077687,-0.71324,-1.492235,-2.030336
0.432416,1.526436,0.693538,0.641793,0.770047,1.030765
-1.873916,-1.658399,-1.736697,-1.571465,-2.886069,-1.511182
-0.224217,-0.89992,-0.32428,0.21326,-0.940704,-0.111127
0.966425,-0.049608,-0.12136,1.306839,0.475563,0.173237
0.024915,-0.331706,0.048276,0.18716,-1.190324,0.364292
1.275893,-0.320513,0.548481,-0.550592,-0.36674,-0.302181
-0.542338,-0.904289,-1.100828,0.028945,-0.944417,-1.292387
-1.176616,0.015052,-0.185016,-1.121265,-1.190324,-0.706123
-0.180787,-0.302967,-0.096781,0.731734,-0.053536,-0.030917
-1.476468,-2.243314,-1.786604,-1.382718,-0.638792,-0.968654
1.551073,1.792193,0.825892,0.191593,0.453131,1.697238
-0.358918,-0.380803,-1.147134,-0.383512,0.177365,-0.501969
0.754156,1.280677,0.789751,0.667892,1.321579,-0.173869
-1.200994,-1.639537,-1.561642,-0.550592,-1.190324,-1.435339
0.692927,0.045884,-0.333674,0.375907,-0.370453,1.306395
1.570272,1.01492,1.420179,0.762266,1.049526,1.297662
1.182166,1.445977,1.210051,0.191593,1.619777,1.030765
0.962052,0.684863,0.963011,0.191593,0.475563,0.364292
-0.960065,-0.485203,-0.791928,0.762266,-0.36674,-1.28802
-1.329299,-1.01942,-1.282067,-0.618866,-0.370453,-0.501969
0.701681,0.449937,0.976737,-0.001586,0.773761,0.093028
-0.107868,0.442336,0.028367,0.118886,0.475563,-0.573445
-0.986286,-0.209221,-2.16639,0.479145,-1.492235,-0.315281
1.338088,0.714918,0.64363,1.401212,1.023381,0.364292
-0.314001,-0.82383,-0.692113,-0.54616,-0.910845,-1.910758
-2.194907,-3.324959,-1.941054,-0.958617,-2.360683,-2.106179
-0.398518,-1.508843,-0.11559,-0.383512,-0.094687,-0.434859
0.874569,-0.047154,0.005225,0.479145,-0.072255,-0.030917
-2.221335,-1.870093,-1.366678,-1.927292,-2.058772,-1.635127
-0.528969,1.187639,0.161839,-1.283912,0.725183,-2.030336
-0.718591,-0.089179,-0.39733,-0.739339,-1.216469,-0.577812
1.915472,1.588641,1.650933,1.851413,1.619777,1.226186
-1.079194,-2.039221,-0.420471,0.307633,-0.847262,-1.759072
0.316304,-0.154617,-0.181783,-0.09596,0.177365,-0.302181
1.350681,-0.189041,0.27903,0.637361,0.497995,1.035131
